employee_id,zone,region,urbanity,home_lat,home_lon,job_family,shift_worker,shift_pattern,offpeak_travel,days_on_site_per_week,commute_days_per_month,age,has_children_under12,car_available,green_attitude,already_has_dticket,field_role
SYN-00001,Hamburg-Wilhelmsburg,Hamburg,urban,53.49111,9.99381,Production & Technical,True,Early (06:00),True,5,19.5,32,False,True,0.852,False,False
SYN-00002,Hamburg-Barmbek,Hamburg,urban_core,53.58815,10.02049,Production & Technical,True,Early (06:00),True,5,19.5,48,False,False,1.207,False,False
SYN-00003,Quickborn,Kr. Pinneberg,suburban,53.72932,9.87636,Office & Commercial,False,Day (08:00),False,2,7.8,45,True,True,-0.133,False,False
SYN-00004,Hamburg-Billstedt/Horn,Hamburg,urban,53.55978,10.07009,Production & Technical,True,Early (06:00),True,5,19.5,51,False,False,-0.299,False,False
SYN-00005,Hamburg-Langenhorn,Hamburg,urban,53.67301,10.01336,Lab & R&D,False,Day (08:00),False,5,19.5,38,False,True,0.35,False,False
SYN-00006,Reinbek/Glinde,Kr. Stormarn,suburban,53.52509,10.2384,Production & Technical,False,Day (08:00),False,5,19.5,32,False,True,-0.35,False,False
SYN-00007,Hamburg-Blankenese/Osdorf,Hamburg,suburban,53.5521,9.78588,Production & Technical,True,Late (14:00),True,5,19.5,52,False,True,0.937,False,False
SYN-00008,Hamburg-Harburg,Hamburg,urban,53.45448,10.01017,Production & Technical,False,Day (08:00),False,5,19.5,36,False,True,2.127,False,False
SYN-00009,Hamburg-Langenhorn,Hamburg,urban,53.6676,10.03157,Production & Technical,True,Late (14:00),True,5,19.5,44,False,True,1.566,False,False
SYN-00010,Hamburg-Eppendorf,Hamburg,urban_core,53.59793,9.97891,Production & Technical,False,Day (08:00),False,5,19.5,25,True,True,-1.518,True,False
SYN-00011,Hamburg-Winterhude,Hamburg,urban_core,53.58916,9.98842,Office & Commercial,False,Day (08:00),False,3,11.7,36,False,True,0.013,False,False
SYN-00012,Uetersen,Kr. Pinneberg,rural,53.6991,9.66071,Production & Technical,False,Day (08:00),False,5,19.5,53,False,False,-0.479,False,False
SYN-00013,Hamburg-Rahlstedt,Hamburg,suburban,53.58867,10.17084,Office & Commercial,False,Day (08:00),False,4,15.6,34,True,True,0.496,False,False
SYN-00014,Henstedt-Ulzburg,Kr. Segeberg,suburban,53.77644,9.9745,Lab & R&D,False,Day (08:00),False,4,15.6,51,True,True,-1.977,False,False
SYN-00015,Hamburg-Barmbek,Hamburg,urban_core,53.57661,10.04115,Office & Commercial,False,Day (08:00),False,4,15.6,20,False,False,-1.027,False,False
SYN-00016,Hamburg-Poppenbüttel,Hamburg,suburban,53.66815,10.10004,Office & Commercial,False,Day (08:00),False,2,7.8,36,False,False,1.307,True,False
SYN-00017,Hamburg-Altona/Ottensen,Hamburg,urban_core,53.55284,9.94691,Production & Technical,True,Early (06:00),True,5,19.5,40,True,True,-0.176,False,False
SYN-00018,Norderstedt,Kr. Segeberg,suburban,53.68274,9.98811,Production & Technical,True,Late (14:00),True,5,19.5,61,False,False,-1.904,False,False
SYN-00019,Henstedt-Ulzburg,Kr. Segeberg,suburban,53.80684,9.99285,Production & Technical,True,Late (14:00),True,5,19.5,29,False,True,-0.987,False,False
SYN-00020,Hamburg-Rahlstedt,Hamburg,suburban,53.61088,10.15045,Field & Sales,False,Day (08:00),False,2,7.8,49,False,True,0.174,False,True
SYN-00021,Hamburg-Blankenese/Osdorf,Hamburg,suburban,53.57573,9.80121,Office & Commercial,False,Day (08:00),False,2,7.8,54,False,True,-1.123,True,False
SYN-00022,Hamburg-Bramfeld/Farmsen,Hamburg,urban,53.61292,10.10454,Production & Technical,True,Night (22:00),True,5,19.5,34,True,True,0.525,False,False
SYN-00023,Bad Oldesloe,Kr. Stormarn,rural,53.81063,10.34736,Office & Commercial,False,Day (08:00),False,3,11.7,38,False,True,-1.212,False,False
SYN-00024,Pinneberg,Kr. Pinneberg,suburban,53.66985,9.81454,Lab & R&D,False,Day (08:00),False,5,19.5,44,False,True,-1.878,False,False
SYN-00025,Hamburg-Wilhelmsburg,Hamburg,urban,53.51254,10.00082,Office & Commercial,False,Day (08:00),False,4,15.6,26,False,True,1.841,False,False
SYN-00026,Hamburg-Niendorf,Hamburg,urban,53.61716,9.91893,Office & Commercial,False,Day (08:00),False,2,7.8,37,True,True,0.632,False,False
SYN-00027,Hamburg-Eppendorf,Hamburg,urban_core,53.59839,9.9915,Lab & R&D,False,Day (08:00),False,5,19.5,56,False,False,-0.217,True,False
SYN-00028,Norderstedt,Kr. Segeberg,suburban,53.69825,9.96077,Office & Commercial,False,Day (08:00),False,3,11.7,48,True,True,-0.721,False,False
SYN-00029,Hamburg-Fuhlsbüttel,Hamburg,urban,53.62618,10.00682,Office & Commercial,False,Day (08:00),False,2,7.8,40,False,False,1.648,True,False
SYN-00030,Hamburg-Billstedt/Horn,Hamburg,urban,53.54525,10.08079,Production & Technical,False,Day (08:00),False,5,19.5,43,True,True,0.725,True,False
SYN-00031,Hamburg-Bahrenfeld/Lurup,Hamburg,urban,53.57992,9.88453,Production & Technical,False,Day (08:00),False,5,19.5,48,False,True,1.197,False,False
SYN-00032,Bargteheide,Kr. Stormarn,rural,53.72596,10.24791,Field & Sales,False,Day (08:00),False,3,11.7,50,False,True,-1.017,False,True
SYN-00033,Hamburg-Bramfeld/Farmsen,Hamburg,urban,53.60251,10.08241,Office & Commercial,False,Day (08:00),False,2,7.8,36,False,True,0.301,False,False
SYN-00034,Hamburg-Winterhude,Hamburg,urban_core,53.58914,10.03017,Production & Technical,False,Day (08:00),False,5,19.5,59,False,True,0.469,False,False
SYN-00035,Hamburg-Eimsbüttel,Hamburg,urban_core,53.57557,9.94308,Office & Commercial,False,Day (08:00),False,3,11.7,56,False,True,-0.433,False,False
SYN-00036,Hamburg-Niendorf,Hamburg,urban,53.626,9.9472,Production & Technical,False,Day (08:00),False,5,19.5,49,False,True,-0.062,True,False
SYN-00037,Hamburg-Langenhorn,Hamburg,urban,53.66503,10.01079,Lab & R&D,False,Day (08:00),False,4,15.6,33,False,True,-0.284,False,False
SYN-00038,Hamburg-Eimsbüttel,Hamburg,urban_core,53.57261,9.9398,Production & Technical,True,Early (06:00),True,5,19.5,31,True,True,0.932,True,False
SYN-00039,Hamburg-Poppenbüttel,Hamburg,suburban,53.64934,10.09039,Office & Commercial,False,Day (08:00),False,3,11.7,38,False,True,-1.355,False,False
