zone,employees,median_pt_min,median_car_min,median_access_km,median_transfers,adoption_rate_pct,median_gap_eur,pt_car_ratio
Hamburg-Harburg,25,85.7,44.1,2.01,1.0,84.7,19.35,1.94
Hamburg-Rotherbaum,13,51.3,29.5,0.61,0.0,75.3,-48.36,1.74
Hamburg-Uhlenhorst,18,56.349999999999994,29.2,1.7349999999999999,0.5,70.5,43.17,1.93
Hamburg-Eppendorf,31,51.6,28.2,1.44,0.0,67.8,20.41,1.83
Hamburg-St. Pauli/Neustadt,16,58.900000000000006,31.1,0.405,1.0,67.6,5.385,1.89
Hamburg-Barmbek,54,53.8,28.0,2.05,1.0,64.8,90.435,1.92
Hamburg-Altona/Ottensen,25,69.2,31.6,4.18,0.0,63.4,136.25,2.19
Hamburg-Ohlsdorf,20,43.1,23.3,1.3250000000000002,0.0,59.6,94.035,1.85
Seevetal/Neu Wulmstorf,11,93.7,48.4,5.9,1.0,58.9,65.35,1.94
Hamburg-Wilhelmsburg,31,78.8,42.5,2.41,1.0,58.6,73.26,1.85
Hamburg-Eimsbüttel,35,60.2,29.8,3.71,0.0,58.0,112.31,2.02
Hamburg-Winterhude,43,49.4,27.5,1.16,0.0,56.4,71.89,1.8
Hamburg-Fuhlsbüttel,16,34.599999999999994,21.200000000000003,0.4,0.0,54.7,94.43,1.63
Hamburg-Niendorf,36,60.2,26.2,4.165,0.0,51.8,194.0,2.3
Hamburg-Langenhorn,96,22.200000000000003,14.2,0.4,0.0,50.1,129.01999999999998,1.56
Hamburg-Wandsbek,48,61.75,29.15,3.06,1.0,49.2,152.5,2.12
Hamburg-Bramfeld/Farmsen,55,64.8,26.4,4.1,1.0,44.4,238.4,2.45
Hamburg-Bahrenfeld/Lurup,40,77.25,31.1,1.76,1.0,39.8,194.805,2.48
Reinbek/Glinde,14,98.35,41.25,2.2800000000000002,1.0,37.7,241.61,2.38
Hamburg-Blankenese/Osdorf,17,90.9,31.0,2.68,1.0,37.5,228.47,2.93
Hamburg-Billstedt/Horn,41,73.7,31.3,2.05,1.0,37.3,172.32,2.35
Henstedt-Ulzburg,22,62.35,24.6,3.33,0.0,36.9,201.995,2.53
Hamburg-Sasel/Wellingsbüttel,42,32.8,14.899999999999999,0.4,0.0,35.6,160.465,2.2
Hamburg-Stellingen/Eidelstedt,26,77.25,29.799999999999997,2.8,1.0,30.2,259.225,2.59
Kaltenkirchen,10,78.85,29.35,1.655,1.0,28.5,194.41000000000003,2.69
Quickborn,24,63.0,22.5,1.775,0.0,27.1,218.16500000000002,2.8
Norderstedt,96,31.2,14.3,0.4,0.0,26.1,161.385,2.18
Halstenbek/Rellingen,18,88.3,25.950000000000003,1.775,1.0,26.1,312.765,3.4
Hamburg-Poppenbüttel,32,30.65,14.1,0.4,0.0,24.9,156.79500000000002,2.17
Ahrensburg,17,88.8,25.0,1.61,2.0,23.7,411.07,3.55
Elmshorn,11,101.1,36.6,2.27,1.0,22.4,180.24,2.76
Hamburg-Volksdorf/Duvenstedt,32,85.1,19.75,2.34,2.0,22.1,428.18,4.31
Hamburg-Schnelsen,14,68.80000000000001,21.5,1.815,0.0,17.8,282.82500000000005,3.2
Pinneberg,19,90.7,28.1,1.55,1.0,16.9,271.06,3.23
Hamburg-Rahlstedt,65,84.0,23.7,4.07,3.0,15.8,422.4,3.54
